slope_deg,rainfall_24h_mm,rainfall_72h_mm,soil_moisture,elevation_m,lithology_code,ndvi,landslide_risk_level,event_id,state,district,lat,lng,year,data_source
36.2,110.5,201.5,0.43,258.0,4,0.52,2,MZ/LAW/84B12/2020/11,Mizoram,Lawngtlai,22.21,92.61,2020,GSI_REAL
36.2,110.5,201.5,0.43,891.0,4,0.52,2,MZ/SER/84A15/2016/9,Mizoram,Serchhip,23.282258,92.852377,2016,GSI_REAL
36.2,110.5,201.5,0.43,451.0,4,0.52,2,MIZO/LUN/84B09/2005/E-5,Mizoram,Lunglei,22.851028,92.694972,2005,GSI_REAL
36.2,110.5,201.5,0.43,338.0,4,0.52,2,MZ/SER/84A16/2018/44,Mizoram,Serchhip,23.222853,92.941536,2018,GSI_REAL
36.2,110.5,201.5,0.43,695.0,4,0.52,2,MZ/LUN/84A12/2018/26,Mizoram,Lunglei,23.230371,92.673973,2018,GSI_REAL
24.5,148.8,271.2,0.53,76.0,4,0.7,2,MZ/MAM/83D08/2020/15,Mizoram,Mamit,24.17,92.33,2020,GSI_REAL
24.5,148.8,271.2,0.53,44.0,4,0.7,2,MZ/KOL/83D12/2020/1,Mizoram,Kolasib,24.18,92.54,2020,GSI_REAL
36.2,110.5,201.5,0.43,1373.0,4,0.52,2,MIZ/AIZ/84A13/2016/127,Mizoram,Aizawl,23.865694,92.932639,2016,GSI_REAL
36.2,110.5,201.5,0.43,1038.0,4,0.52,3,MZ/LUN/84B09/2018/26,Mizoram,Lunglei,22.873558,92.755951,2018,GSI_REAL
36.2,110.5,201.5,0.43,685.0,4,0.52,2,MZ/SER/84A15/2016/76,Mizoram,Serchhip,23.43481,92.873933,2016,GSI_REAL
36.2,110.5,201.5,0.43,1026.0,4,0.52,2,MZ/CHA/84E03/2017/43,Mizoram,Champhai,23.341111,93.080583,2017,GSI_REAL
36.2,110.5,201.5,0.43,782.0,4,0.52,2,MZ/LUN/84B13/2018/6,Mizoram,Lunglei,22.788198,92.825165,2018,GSI_REAL
24.5,148.8,271.2,0.53,751.0,4,0.7,2,MZ/MAM/84A05/2020/11,Mizoram,Mamit,23.79,92.36,2020,GSI_REAL
36.2,110.5,201.5,0.43,649.0,4,0.52,2,MZ/LAW/84B14/2018/45,Mizoram,Lawngtlai,22.525,92.865997,2018,GSI_REAL
36.2,110.5,201.5,0.43,1117.0,3,0.52,2,MIZ/AIZ/84A09/2016/52,Mizoram,Aizawl,23.852722,92.743306,2016,GSI_REAL
36.2,110.5,201.5,0.43,1028.0,3,0.52,2,MZ/CHA/84E01/2017/42,Mizoram,Champhai,23.868279,93.222557,2017,GSI_REAL
24.5,148.8,271.2,0.53,596.0,4,0.7,2,MZ/KOL/83D12/2016/5,Mizoram,Kolasib,24.238745,92.681538,2016,GSI_REAL
24.5,148.8,271.2,0.53,596.0,4,0.7,2,MZ/KOL/83D12/2016/6,Mizoram,Kolasib,24.24496,92.683014,2016,GSI_REAL
36.2,110.5,201.5,0.43,452.0,4,0.52,2,MZ/AIZ/84A14/2015/114,Mizoram,Aizawl,23.665806,92.892639,2015,GSI_REAL
36.2,110.5,201.5,0.43,854.0,4,0.52,2,MIZ/AIZ/84A09/2016/77,Mizoram,Aizawl,23.754493,92.690145,2016,GSI_REAL
36.2,110.5,201.5,0.43,661.0,4,0.52,3,MZ/LUNG/84B14/2018/24,Mizoram,Lunglei,22.673,92.844002,2018,GSI_REAL
36.2,110.5,201.5,0.43,923.0,4,0.52,2,MZ/AIZ/84A14/2015/68,Mizoram,Aizawl,23.708217,92.761489,2015,GSI_REAL
36.2,110.5,201.5,0.43,951.0,4,0.52,2,MZ/CHA/84E07/2017/35,Mizoram,Champhai,23.468389,93.27075,2017,GSI_REAL
36.2,110.5,201.5,0.43,746.0,4,0.52,2,MZ/AIZ/84A10/2015/117,Mizoram,Aizawl,23.733083,92.675611,2015,GSI_REAL
36.2,110.5,201.5,0.43,627.0,4,0.52,2,MIZO/LUN/84B09/2005/E-8,Mizoram,Lunglei,22.85697,92.70764,2005,GSI_REAL
36.2,110.5,201.5,0.43,644.0,4,0.52,2,MZ/AIZ/83H04/2017/9,Mizoram,Aizawl,24.040972,93.078697,2017,GSI_REAL
36.2,110.5,201.5,0.43,934.0,4,0.52,2,MZ/CHA/84E01/2017/22,Mizoram,Champhai,23.939194,93.214195,2017,GSI_REAL
36.2,110.5,201.5,0.43,1559.0,4,0.52,2,MZ/CHA/84E08/2017/4,Mizoram,Champhai,23.161889,93.2775,2017,GSI_REAL
36.2,110.5,201.5,0.43,564.0,4,0.52,2,MZ/LUN/84A12/2018/75,Mizoram,Lunglei,23.135416,92.616661,2018,GSI_REAL
36.2,110.5,201.5,0.43,176.0,4,0.52,2,MZ/AIZ/83D16/2016/123,Mizoram,Aizawl,24.199185,92.992094,2016,GSI_REAL
36.2,110.5,201.5,0.43,220.0,4,0.52,2,MZ/SAI/84B15/2018/58,Mizoram,Saiha,22.399,92.964996,2018,GSI_REAL
36.2,110.5,201.5,0.43,1162.0,4,0.52,2,MZ/CHA/84E02/2017/0061,Mizoram,Champhai,23.689256,93.192172,2017,GSI_REAL
36.2,110.5,201.5,0.43,637.0,4,0.52,2,MZ/CHA/84E02/2017/28,Mizoram,Champhai,23.573051,93.102716,2017,GSI_REAL
36.2,110.5,201.5,0.43,1097.0,4,0.52,2,MZ/CHA/84E02/2017/0019,Mizoram,Champhai,23.538538,93.158251,2017,GSI_REAL
36.2,110.5,201.5,0.43,1119.0,4,0.52,2,MZ/CHA/84E02/2017/21,Mizoram,Champhai,23.742754,93.094558,2017,GSI_REAL
36.2,110.5,201.5,0.43,910.0,4,0.52,2,MZ/LUN/84B13/2018/70,Mizoram,Lunglei,22.870546,92.752853,2018,GSI_REAL
36.2,110.5,201.5,0.43,634.0,3,0.52,2,MZ/LUN/84A12/2018/41,Mizoram,Lunglei,23.147697,92.687386,2018,GSI_REAL
36.2,110.5,201.5,0.43,599.0,4,0.52,2,MZ/LAW/84B14/2018/42,Mizoram,Lawngtlai,22.534,92.876999,2018,GSI_REAL
36.2,110.5,201.5,0.43,194.0,4,0.52,2,MZ/LUN/84B13/2018/23,Mizoram,Lunglei,22.822599,92.624512,2018,GSI_REAL
36.2,110.5,201.5,0.43,1246.0,4,0.52,2,MZ/CHA/84E07/2017/55,Mizoram,Champhai,23.484639,93.278222,2017,GSI_REAL
36.2,110.5,201.5,0.43,1330.0,4,0.52,2,MZ/SAI/84F03/2020/24,Mizoram,Saiha,22.39,93.11,2020,GSI_REAL
